unique_number,id_no,name_en,name_fr,name_ja,description_en,date_inscribed,danger,longitude,latitude,area_hectares,criteria_txt,category,category_short,states_name_en,region_en,iso_code,transboundary
1487,1160,Madriu-Perafita-Claror Valley,La Vallée du Madriu-Perafita-Claror,マドリウ＝ペラフィタ＝クラロ渓谷,"The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open pastures and steep wooded valleys, covers an area of 4,247 ha, 9% of the total area of the principality. It reflects past changes in climate, economic fortune and social systems, as well as the persistence of pastoralism and a strong mountain culture, notably the survival of a communal land-ownership system dating back to the 13th century. The site features houses, notably summer settlements, terraced fields, stone tracks and evidence of iron smelting.",2004,false,1.595555556,42.49472222,4247,(v),Cultural,C,Andorra,Europe and North America,ad,false
2128,1511,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Mbanza Kongo, vestiges de la capitale de l’ancien Royaume du Kongo",ンバンザ＝コンゴ,"The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area grew around the royal residence, the customary court and the holy tree, as well as the royal funeral places. When the Portuguese arrived in the 15th century they added stone buildings constructed in accordance with European methods to the existing urban conurbation built in local materials. Mbanza Kongo illustrates, more than anywhere in sub-Saharan Africa, the profound changes caused by the introduction of Christianity and the arrival of the Portuguese into Central Africa.",2017,false,14.24972222,-6.268888889,89.29,(iii)(iv),Cultural,C,Angola,Africa,ao,false
2086,1499,Antigua Naval Dockyard and Related Archaeological Sites,Chantier naval d’Antigua et sites archéologiques associés,,"The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurricanes and was ideal for repairing ships. The construction of the Dockyard by the British navy would not have been possible without the labour of generations of enslaved Africans since the end of the 18th century. Its aim was to protect the interests of sugar cane planters at a time when European powers were competing for control of the Eastern Caribbean.",2016,false,-61.76166667,17.00694444,255,(ii)(iv),Cultural,C,Antigua and Barbuda,Latin America and the Caribbean,ag,false
160,145,Los Glaciares National Park,Parc national de Los Glaciares,ロス・グラシアレス,"The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.",1981,false,-73.24944,-50,726927,(vii)(viii),Natural,N,Argentina,Latin America and the Caribbean,ar,false
340,303,Iguazu National Park,Parc national de l'Iguazu,イグアス国立公園,"The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.",1984,false,-54.286073,-25.577357,55000,(vii)(x),Natural,N,Argentina,Latin America and the Caribbean,ar,false
1091,936,"Cueva de las Manos, Río Pinturas","Cueva de las Manos, Río Pinturas",クエバ・デ・ラス・マノス,"The Cueva de las Manos, Río Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (Lama guanicoe ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.",1999,false,-70.66666667,-47.15,600,(iii),Cultural,C,Argentina,Latin America and the Caribbean,ar,false
1092,937,Península Valdés,Presqu'île de Valdés,バルデス半島,Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions.,1999,false,-64,-42.5,360000,(x),Natural,N,Argentina,Latin America and the Caribbean,ar,false
1130,966,Ischigualasto / Talampaya Natural Parks,Parcs naturels d’Ischigualasto / Talampaya,イスチグアラスト/タランパジャ自然公園群,"These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.",2000,false,-68,-30,275369,(viii),Natural,N,Argentina,Latin America and the Caribbean,ar,false
1159,995,Jesuit Block and Estancias of Córdoba,Ensemble et les estancias jésuites de Córdoba,コルドバのイエズス会伝道所とエスタンシア群,"The Jesuit Block in Córdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.",2000,false,-64.19111,-31.42056,38.12,(ii)(iv),Cultural,C,Argentina,Latin America and the Caribbean,ar,false
1295,1116,Quebrada de Humahuaca,Quebrada de Humahuaca,ウマワカ峡谷,"Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries.",2003,false,-65.34886111,-23.19986111,172116.4375,(ii)(iv)(v),Cultural,C,Argentina,Latin America and the Caribbean,ar,false
2172,1526,Los Alerces National Park,Parc national de Los Alerces,ロス・アレルセス国立公園,"The Los Alerces National Park is located in the Andes of northern Patagonia and its western boundary coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. A highly distinctive and emblematic feature is its alerce forest; the globally threatened Alerce tree is the second longest living tree species in the world (>3,600 years). The Alerce forest in the property is in an excellent state of conservation. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna.",2017,false,-71.8728,-42.8528,188379,(vii)(x),Natural,N,Argentina,Latin America and the Caribbean,ar,false
2468,1681,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination","Musée et lieu de Mémoire de l’ESMA - Ancien centre clandestin de détention, de torture et d’extermination",アルゼンチン海軍技術学校,"This property is located within the complex of the Former Navy School of Mechanics in Buenos Aires, in the former Officers’ Quarters. This was the Argentine Navy’s principal secret detention centre during the civil-military dictatorship of 1976-1983. As part of a national strategy to destroy armed and nonviolent opposition to the military regime, the Officers' Quarters building at ESMA (Escuela Superior de Mecánica de la Armada) was used for holding captive opponents who had been abducted in Buenos Aires and interrogating, torturing and eventually killing them.",2023,false,-58.46533333,-34.53664167,0.907,(vi),Cultural,C,Argentina,Latin America and the Caribbean,ar,false
920,777,Monasteries of Haghpat and Sanahin,Monastères de Haghbat et de Sanahin,ハフパット修道院,"These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.",1996,false,44.71028,41.095,2.65,(ii)(iv),Cultural,C,Armenia,Europe and North America,am,false
1124,960,Monastery of Geghard and the Upper Azat Valley,Monastère de Gherart et la Haute vallée de l’Azat,ゲガルド修道院とアザト川上流域,"The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.",2000,false,44.818525,40.140439,2.7,(ii),Cultural,C,Armenia,Europe and North America,am,false
1181,1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cathédrale et les églises d’Etchmiadzine et le site archéologique de Zvarnotz,エチミアジンの大聖堂と教会群ならびにズヴァルトノツの考古遺跡,"The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.",2000,false,44.29514,40.15931,74.3,(ii)(iii),Cultural,C,Armenia,Europe and North America,am,false
1872,147,Kakadu National Park,Parc national de Kakadu,カカドゥ国立公園,"This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.",1981,false,132.8333333,-12.83333333,1980994.92,(i)(vi)(vii)(ix)(x),Mixed,C/N,Australia,Asia and the Pacific,au,false
172,154,Great Barrier Reef,La Grande Barrière,グレートバリアリーフ,"The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction.",1981,false,147.7,-18.28611111,34870000,(vii)(viii)(ix)(x),Natural,N,Australia,Asia and the Pacific,au,false
1457,166,Sydney Opera House,Opéra de Sydney,シドニー・オペラハウス,"Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction.",2007,false,151.2152778,-33.85666667,5.8,(i),Cultural,C,Australia,Asia and the Pacific,au,false
185,167,Willandra Lakes Region,Région des lacs Willandra,ウィランドラ湖群地域,"The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.",1981,false,143,-34,240000,(iii)(viii),Mixed,C/N,Australia,Asia and the Pacific,au,false
1950,181,Tasmanian Wilderness,Zone de nature sauvage de Tasmanie,タスマニア原生地域,"In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years.",1982,false,146.2305556,-43.11847222,1584233,(iii)(iv)(vi)(vii)(viii)(ix)(x),Mixed,C/N,Australia,Asia and the Pacific,au,false
206,186,Lord Howe Island Group,Îles Lord Howe,ロード・ハウ島群,"A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.",1982,false,159.0883333,-31.56555556,146300,(vii)(x),Natural,N,Australia,Asia and the Pacific,au,false
422,368,Gondwana Rainforests of Australia,Forêts humides Gondwana de l’Australie,オーストラリアのゴンドワナ多雨林群,"This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.",1986,false,150.05,-28.25,370000,(viii)(ix)(x),Natural,N,Australia,Asia and the Pacific,au,false
519,447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Parc national d'Ulu<U>r</U>u-Kata Tju<U>t</U>a,ウルル＝カタ・ジュタ国立公園,"This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.",1987,false,131,-25.33333333,132566,(v)(vi)(vii)(viii),Mixed,C/N,Australia,Asia and the Pacific,au,false
565,486,Wet Tropics of Queensland,Tropiques humides de Queensland,クイーンズランドの湿潤熱帯地域,"This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species.",1988,false,144.9666667,-15.65,893453,(vii)(viii)(ix)(x),Natural,N,Australia,Asia and the Pacific,au,false
683,577,Heard and McDonald Islands,Îles Heard et McDonald,ハード島とマクドナルド諸島,"Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they ‘open a window into the earth’, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald – one of the world’s rare pristine island ecosystems – lies in the complete absence of alien plants and animals, as well as human impact.",1997,false,73.5,-53.1,658903,(viii)(ix),Natural,N,Australia,Asia and the Pacific,au,false
684,578,"Shark Bay, Western Australia","Baie Shark, Australie occidentale",,"At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.",1991,false,113.4361111,-25.48611111,2200902,(vii)(viii)(ix)(x),Natural,N,Australia,Asia and the Pacific,au,false
747,629,Macquarie Island,Île Macquarie,マッコーリー島,"Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks.",1997,false,158.8955556,-54.59472222,557280,(vii)(viii),Natural,N,Australia,Asia and the Pacific,au,false
748,630,K’gari (Fraser Island),K’gari (Île Fraser),フレーザー島,"K’gari (Fraser Island) lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world’s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site.",1992,false,153.1333333,-25.21666667,181851,(vii)(viii)(ix),Natural,N,Australia,Asia and the Pacific,au,false
826,698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Sites fossilifères de mammifères d'Australie (Riversleigh / Naracoorte),オーストラリアの哺乳類化石地域（リヴァーズレー/ナラコーアテ）,"Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna.",1994,false,138.7166667,-19.08333333,10326,(viii)(ix),Natural,N,Australia,Asia and the Pacific,au,false
1071,917,Greater Blue Mountains Area,Région des montagnes Bleues,グレーター・ブルー・マウンテンズ地域,"The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites.",2000,false,150,-33.7,1032649,(ix)(x),Natural,N,Australia,Asia and the Pacific,au,false
1272,1094,Purnululu National Park,Parc national de Purnululu,パーヌルル国立公園,"The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena.",2003,false,128.5,-17.5,239723,(vii)(viii),Natural,N,Australia,Asia and the Pacific,au,false
1730,1131,Royal Exhibition Building and Carlton Gardens,Palais royal des expositions et jardins Carlton,王立展示館とカールトン庭園,"The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations.",2004,false,144.9702778,-37.80611111,26,(ii),Cultural,C,Australia,Asia and the Pacific,au,false
1648,1306,Australian Convict Sites,Sites de bagnes australiens,コッカトゥー島 (ニューサウスウェールズ州),"The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18th and 19th centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts.",2010,false,150.9944444,-33.37833333,1502.51,(iv)(vi),Cultural,C,Australia,Asia and the Pacific,au,false
1763,1369,Ningaloo Coast,Côte de Ningaloo,ニンガルー・リーフ,"The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site",2011,false,113.8102778,-22.5625,705015,(vii)(x),Natural,N,Australia,Asia and the Pacific,au,false
2262,1577,Budj Bim Cultural Landscape,Paysage culturel Budj Bim,バッジ・ビム,"The Budj Bim Cultural Landscape, located in the traditional Country of the Gunditjmara people in south-eastern Australia, consists of three serial components containing one of the world’s most extensive and oldest aquaculture systems. The Budj Bim lava flows provide the basis for the complex system of channels, weirs and dams developed by the Gunditjmara in order to trap, store and harvest kooyang (short-finned eel – Anguilla australis). The highly productive aquaculture system provided an economic and social base for Gunditjmara society for six millennia. The Budj Bim Cultural Landscape is the result of a creational process narrated by the Gunditjmara as a deep time story, referring to the idea that they have always lived there. From an archaeological perspective, deep time represents a period of at least 32,000 years. The ongoing dynamic relationship of Gunditjmara and their land is nowadays carried by knowledge systems retained through oral transmission and continuity of cultural pr",2019,false,141.8852778,-38.08111111,9935,(iii)(v),Cultural,C,Australia,Asia and the Pacific,au,false
927,784,Historic Centre of the City of Salzburg,Centre historique de la ville de Salzbourg,ザルツブルク市街の歴史地区,"Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and artists before the city became even better known through the work of the Italian architects Vincenzo Scamozzi and Santini Solari, to whom the centre of Salzburg owes much of its Baroque appearance. This meeting-point of northern and southern Europe perhaps sparked the genius of Salzburg&rsquo;s most famous son, Wolfgang Amadeus Mozart, whose name has been associated with the city ever since.",1996,false,13.04333333,47.80055556,236,(ii)(iv)(vi),Cultural,C,Austria,Europe and North America,at,false
928,785,Semmering Railway,Ligne de chemin de fer de Semmering,ゼメリング鉄道,"The Semmering Railway, built over 41 km of high mountains between 1848 and 1854, is one of the greatest feats of civil engineering from this pioneering phase of railway building. The high standard of the tunnels, viaducts and other works has ensured the continuous use of the line up to the present day. It runs through a spectacular mountain landscape and there are many fine buildings designed for leisure activities along the way, built when the area was opened up due to the advent of the railway.",1998,false,15.82797222,47.64877778,156.18,(ii)(iv),Cultural,C,Austria,Europe and North America,at,false
929,786,Palace and Gardens of Schönbrunn,Palais et jardins de Schönbrunn,,"From the 18th century to 1918, Schönbrunn was the residence of the Habsburg emperors. It was designed by the architects Johann Bernhard Fischer von Erlach and Nicolaus Pacassi and is full of outstanding examples of decorative art. Together with its gardens, the site of the world’s first zoo in 1752, it is a remarkable Baroque ensemble and a perfect example of Gesamtkunstwerk.",1996,false,16.31333333,48.18666667,186.28,(i)(iv),Cultural,C,Austria,Europe and North America,at,false
2615,806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Paysage culturel de Hallstatt-Dachstein / Salzkammergut,ザルツカンマーグート地方のハルシュタットとダッハシュタインの文化的景観,"Human activity in the magnificent natural landscape of the Salzkammergut began in prehistoric times, with the salt deposits being exploited as early as the 2nd millennium BC. This resource formed the basis of the area’s prosperity up to the middle of the 20th century, a prosperity that is reflected in the fine architecture of the town of Hallstatt.",1997,false,13.64638889,47.55944444,28637,(iii)(iv),Cultural,C,Austria,Europe and North America,at,false
1724,931,City of Graz – Historic Centre and Schloss Eggenberg,Ville de Graz – Centre historique et château d’Eggenberg,グラーツの市街-歴史地区とエッゲンベルク城,"The City of Graz – Historic Centre and Schloss Eggenberg bear witness to an exemplary model of the living heritage of a central European urban complex influenced by the secular presence of the Habsburgs and the cultural and artistic role played by the main aristocratic families. They are a harmonious blend of the architectural styles and artistic movements that have succeeded each other from the Middle Ages until the 18th century, from the many neighbouring regions of Central and Mediterranean Europe. They embody a diversified and highly comprehensive ensemble of architectural, decorative and landscape examples of these interchanges of influence.",1999,false,15.43861111,47.07305556,,(ii)(iv),Cultural,C,Austria,Europe and North America,at,false
